"subject" "Activity_Label" "V1" "V2" "V3" "V4" "V5" "V6" "V41" "V42" "V43" "V44" "V45" "V46" "V81" "V82" "V83" "V84" "V85" "V86" "V121" "V122" "V123" "V124" "V125" "V126" "V161" "V162" "V163" "V164" "V165" "V166" "V201" "V202" "V214" "V215" "V227" "V228" "V240" "V241" "V253" "V254" "V266" "V267" "V268" "V269" "V270" "V271" "V294" "V295" "V296" "V345" "V346" "V347" "V348" "V349" "V350" "V373" "V374" "V375" "V424" "V425" "V426" "V427" "V428" "V429" "V452" "V453" "V454" "V503" "V504" "V513" "V516" "V517" "V526" "V529" "V530" "V539" "V542" "V543" "V552"
1 "LAYING" 0.250875873336735 -0.0295644610190816 -0.110285377336735 -0.950588548673469 -0.907088626744898 -0.903533350320408 -0.376656054530612 0.728563748602041 0.544275104183673 -0.927287695 -0.947144590489796 -0.916952801846939 0.0818264772040816 0.00796061271561225 0.00464474151173469 -0.97189765 -0.953058629183673 -0.971305839081633 -0.0174952226826531 -0.0876606712693878 0.146824983938776 -0.929738822153061 -0.966372645306122 -0.933764775816327 -0.104676590832653 -0.0387458896908163 -0.0721537199489796 -0.955160681632653 -0.978516367346939 -0.97260436122449 -0.908299601173469 -0.882195826663265 -0.908299601173469 -0.882195826663265 -0.970728720816327 -0.956297439591837 -0.911617681020408 -0.888636562020408 -0.977325214897959 -0.96222977255102 -0.957528117244898 -0.922282677540816 -0.93248603 -0.948343906836735 -0.905821253826531 -0.897087784204082 -0.15276334254898 0.175782004319388 0.242790258408163 -0.971150494591837 -0.952000066428571 -0.966739874183673 -0.975469874591837 -0.958064167142857 -0.974672725 0.145834228479245 0.0718733602081633 0.105777466683673 -0.91695054662551 -0.967438910612245 -0.935442720918367 -0.934491178163265 -0.966258286326531 -0.939402939591837 0.0484490156887755 -0.0259896373591837 0.0324208063071429 -0.917282365663265 -0.884906873877551 0.17451777905102 -0.958805872959184 -0.952545778163265 0.303305809020408 -0.916029917959184 -0.891313205755102 -0.0622209792642857 -0.965819235102041 -0.960496745714286 0.219742526663265
1 "SITTING" 0.2696871675 -0.00803650608663636 -0.107595841663636 -0.982646608272727 -0.937739314727273 -0.950818060545455 0.886059048090909 0.0732707905832364 0.253364830845455 -0.975838455090909 -0.948117593636364 -0.953157689090909 0.0753418104727273 0.00456496771472727 0.001087605654 -0.986457321636364 -0.977375186272727 -0.987460862454545 -0.0469284178736364 -0.0776767456672727 0.0585679930454545 -0.981025754636364 -0.97252575 -0.950326665545455 -0.0928849027636364 -0.0407136832909091 -0.0441907828863636 -0.989765230090909 -0.990127179 -0.986192918090909 -0.959044806636364 -0.941948448 -0.959044806636364 -0.941948448 -0.986012692181818 -0.98319405 -0.937755792272727 -0.948136697909091 -0.991050517545455 -0.988830157 -0.983012843909091 -0.950775444181818 -0.965499866272727 -0.982647909909091 -0.935146350454545 -0.946751839363636 0.0230951041905455 0.124909335686364 0.144644171100909 -0.986465511818182 -0.977122946272727 -0.985229800363636 -0.987718728727273 -0.979438522545454 -0.988329048272727 0.280097458069091 0.0286051674510909 0.0930117605018182 -0.978541629818182 -0.978986179545455 -0.954837250181818 -0.982006326 -0.969549740363636 -0.953587752 0.156312778720545 -0.118409282872727 0.00233263578009091 -0.955770910545454 -0.943825245818182 0.167469199746364 -0.983268634545455 -0.982018806363636 0.3199847122 -0.964855079363636 -0.947179505727273 -0.0685923241609091 -0.989601625636364 -0.988352503727273 0.189206057461818
1 "STANDING" 0.278168938 -0.01686007608 -0.106339367081481 -0.989281635925926 -0.950636023407407 -0.949911347703704 0.925928863333333 -0.27129046877037 0.098648116497037 -0.988402512 -0.969911234740741 -0.948195417148148 0.0748355102 0.00763145299138519 -0.00998019471826667 -0.984621286592593 -0.971827161407407 -0.984673020962963 -0.0250564164306667 -0.0723776779777778 0.0832680372711111 -0.963313760074074 -0.974024495703704 -0.962465261111111 -0.10346195257037 -0.0431935621896296 -0.0528209215407407 -0.979063473481481 -0.986735870518519 -0.979235680444444 -0.963747100296296 -0.957148828962963 -0.963747100296296 -0.957148828962963 -0.982269615037037 -0.980152637259259 -0.955718102814815 -0.948858169555556 -0.985392440148148 -0.982231380592593 -0.986728119259259 -0.956736193703704 -0.964569506592593 -0.990622650444444 -0.95005874837037 -0.945840987111111 0.086537240336963 0.0505029340643704 0.127506199531111 -0.984455354074074 -0.971500459777778 -0.981963539481482 -0.986285736518518 -0.974414436888889 -0.986052515185185 0.310416937496296 -0.033045714997037 0.0859468914725926 -0.960156079111111 -0.976122119407407 -0.961802464962963 -0.964720458296296 -0.973052119407407 -0.96624271962963 -0.150279722406667 -0.166489486811111 -0.00227093300162963 -0.965348286222222 -0.959068370296296 0.13882673892 -0.979803883407407 -0.979503504296296 0.33520429928 -0.960643337111111 -0.950275074074074 -0.101621352796593 -0.982556905185185 -0.982830968814815 0.215289027051852
1 "WALKING" 0.276984355064935 -0.017847811915974 -0.108984356863636 -0.337339299090909 0.0406911886077922 -0.32333016025974 0.926715758506493 -0.306853865779221 -0.00955112948051948 -0.975109187792208 -0.971616637922078 -0.957048275909091 0.0693547485262987 0.0244321897318182 0.000453417532467531 -0.176414152766234 0.0349721144948052 -0.534648146948052 -0.0461199004111688 -0.061372792598052 0.0841359985707792 -0.507255430194805 -0.239977301445779 -0.396684262142857 -0.0868888555662338 -0.045201555125974 -0.0481855800519481 -0.277198157545455 -0.430771391168831 -0.416222960779221 -0.19575525846039 -0.297406021590909 -0.19575525846039 -0.297406021590909 -0.195063389201299 -0.108829379080779 -0.270386064746753 -0.327215062922078 -0.394179575214286 -0.414389314448052 -0.25767727662987 0.0469501636272727 -0.378394720844156 -0.372202792207792 -0.0302607846469481 -0.346937324883117 -0.18388980175 0.145847388985714 0.0570720200775325 -0.221910816118247 -0.051905881342474 -0.501930988376623 -0.20282596325974 0.0599717029832467 -0.565816688051948 -0.156946667657338 -0.339242829077922 -0.21208647145974 -0.373773749064935 -0.276118176501948 -0.309852752402597 -0.550161443571429 -0.224889905064286 -0.483798396623377 0.0119092758837662 -0.0569347000461039 0.054018443827987 -0.203586389985714 -0.466638332727273 0.26824883187013 -0.100007401423766 -0.126709120017532 0.137374427547143 -0.326237520283766 -0.447743397142857 0.282804938993247 -0.420428731941558 -0.449223054220779 0.166021817450195
1 "WALKING_DOWNSTAIRS" 0.28352238603125 -0.0161572215645833 -0.112093246317708 0.0380308917392813 0.112401904705208 -0.1679651888125 0.897582497604167 -0.295578868125 -0.0531943930822917 -0.9455670153125 -0.9385118228125 -0.913319226875 0.0815158274976042 0.0135284503614583 -0.01584978711875 0.0658208392239583 0.0102338389875 -0.342986996604167 -0.0746703844755208 -0.0487772298020833 0.0935555699432292 -0.390839483483333 -0.268029691270833 -0.200448796832292 -0.0661966866742708 -0.0430878525927083 -0.04857645144375 -0.368016121041667 -0.35170897396875 -0.244039890691667 0.0579159264845833 0.115696780421875 0.0579159264845833 0.115696780421875 -0.0428868112666667 0.0992542649510417 -0.118064427601354 -0.2497725753125 -0.351966082125 -0.324467205989583 0.0747579636427083 0.137064192155833 -0.17941474371875 0.0203034192833333 0.0265370153260417 -0.231395967411458 -0.290904274892708 0.0381097839916667 0.194469807378021 0.0535014843552083 -0.01857146009375 -0.2800921035625 -0.0196040729028125 -0.0291172190208333 -0.404906673333333 -0.199669436760417 -0.347344551479167 -0.110123386659375 -0.251265651519792 -0.205618334364583 -0.0591025228364583 -0.438637765770833 -0.317185008689583 -0.328793280833333 -0.06964722325 0.07987719485625 0.02833634284375 0.192954260736458 -0.105723831215625 0.106773750983646 0.12219098439375 0.058260767228125 0.0482641129979167 -0.251871932796875 -0.385732048104167 0.22935134623125 -0.330046291715625 -0.36831173196875 0.0718893780363542
1 "WALKING_UPSTAIRS" 0.25151860880198 -0.0227455281666337 -0.123541319683168 -0.330788047920792 0.0501221325623762 -0.0635070166089109 0.844574695643564 -0.387845970792079 -0.132663279938614 -0.945930930594059 -0.93902818950495 -0.896042608712871 0.0885781417410891 0.00561090353386139 -0.0146505524386139 -0.365708679217822 -0.286729647352475 -0.643458238217822 -0.00089171800990099 -0.102448016506931 0.0633391214168317 -0.49467638980198 -0.219452924937624 -0.344076611590099 -0.103533218920792 -0.0422706236485149 -0.0425200119640594 -0.543531627524752 -0.62250997019802 -0.540398042079208 -0.119184683623762 -0.268419380437624 -0.119184683623762 -0.268419380437624 -0.397481092871287 -0.354665810989109 -0.170923098716832 -0.257409583186139 -0.584395850495049 -0.624191226435644 -0.338927320366337 -0.0954989324723762 -0.36094682720495 -0.329422276138614 0.0517627471485149 0.000173648650495049 -0.353632272950495 -0.113739066528713 -0.385369905853604 -0.37473347650495 -0.306227578833663 -0.608129582178218 -0.416049639207921 -0.316086965346535 -0.678064334158416 -0.221185265673267 -0.404082472059406 -0.467039745841584 -0.416111981366337 -0.399606814158416 -0.356173328178218 -0.523341847524752 -0.138978668069307 -0.403643506445545 -0.153172633161386 -0.310461787350495 -0.106744790977228 -0.253982920292079 -0.392720208712871 -0.000116223366336634 -0.322347516646535 -0.403490262576238 0.0391254471683168 -0.385201407049505 -0.304475363940594 -0.125893186613762 -0.618570070990099 -0.659660271089109 0.0821820030405941
3 "LAYING" 0.263740730210145 -0.0185467103652174 -0.105783377111594 -0.96154300557971 -0.945029951304348 -0.958249377971015 -0.388236410072464 0.765393275072464 0.509366612246377 -0.940975700217391 -0.973702102391304 -0.968647470144928 0.0877897212753623 0.0117281568148043 -0.0064670466646413 -0.975729485217391 -0.956853455434783 -0.975632144855072 -0.0135241456503623 -0.0998156256637681 0.151075766775362 -0.969187295217391 -0.960553406884058 -0.96200554442029 -0.102561763666667 -0.0362460709934783 -0.0690919333985507 -0.973419899565217 -0.981395765144928 -0.982416372028985 -0.955946408478261 -0.938173926485507 -0.955946408478261 -0.938173926485507 -0.971784894710145 -0.965369879347826 -0.933511663985507 -0.940635536376812 -0.981742410942029 -0.977583672971014 -0.963220450942029 -0.946177337318841 -0.962949699492754 -0.961028424275362 -0.947332667681159 -0.958230828623188 -0.207934697962609 0.215907950637681 0.222176713198623 -0.975471049202899 -0.957638487608696 -0.972697361884058 -0.97834392326087 -0.959130877101449 -0.97717499673913 0.143741387685507 -0.0122038798905797 0.0371358730384058 -0.963269077971014 -0.966626761666667 -0.961036478333333 -0.97117373615942 -0.957901032971014 -0.96584421057971 -0.0965480172025797 -0.274058672702899 0.120734050591159 -0.943960701304348 -0.944143106751449 0.190479344449275 -0.96554112326087 -0.96428824557971 0.248906473341304 -0.954119835434783 -0.942259597536232 -0.138201252588406 -0.97873260442029 -0.977458022101449 0.134577621786232
3 "SITTING" 0.265594872463636 -0.00778227666454545 -0.102439445709091 -0.976456395454545 -0.879657256218182 -0.903354700181818 0.902820911363636 0.134698114686679 0.102968466265455 -0.970335065727273 -0.925486353118182 -0.925537365 0.0757801630727273 -0.00250821392 -0.00912360349581818 -0.976599545090909 -0.952888629272727 -0.975912371090909 -0.0417329997454545 -0.0732764059181818 0.0944108675663636 -0.968457303818182 -0.950176806545455 -0.933764008727273 -0.100887988918182 -0.0405095920290909 -0.055337680423 -0.971792042636364 -0.981174199363636 -0.972973075909091 -0.918535753272727 -0.897741753181818 -0.918535753272727 -0.897741753181818 -0.970491106363636 -0.966188607545455 -0.926844306272727 -0.930019247163636 -0.979416733272727 -0.976615659090909 -0.974534494636364 -0.903687325454545 -0.933759584454545 -0.977561139272727 -0.875902699454545 -0.895673082 0.0242262021090909 -0.00217549093454545 0.00154966273363637 -0.976830720454545 -0.952954436 -0.971906884272727 -0.978511251727273 -0.956426182454545 -0.978655706454545 0.198944161765545 -0.105940533595455 -0.0506752996984545 -0.960143852181818 -0.960299099454546 -0.940386933454545 -0.971214249272727 -0.945412088181818 -0.937851148545455 0.0385512371200909 -0.275297580489091 -0.108857118185455 -0.919722153454545 -0.902722492 0.0183145993063636 -0.965669473636364 -0.965969540818182 0.259665698523364 -0.949557972636364 -0.930065095981818 -0.155723647904545 -0.977440452454545 -0.976918482909091 0.0911760924309091
3 "STANDING" 0.280658647477477 -0.0118726101800901 -0.099788643420018 -0.970524409099099 -0.889482875495496 -0.912590504504505 0.947326451441441 -0.194028372774775 0.0777619151972973 -0.979322268558559 -0.946213514504505 -0.923577887477477 0.0744448304512613 0.00271993321567568 -0.00969015918594595 -0.964506610900901 -0.945501002522523 -0.973731381441441 -0.0272350732114414 -0.0589312325441441 0.0693027468828829 -0.909643885855856 -0.936945538018018 -0.916233353243243 -0.100034822657658 -0.0454339124711712 -0.0448856120302703 -0.944788363513513 -0.972564857927928 -0.960556375495495 -0.923161637747748 -0.91089772990991 -0.923161637747748 -0.91089772990991 -0.963124556126126 -0.954887478378378 -0.901398285405405 -0.88890131009009 -0.965764342342342 -0.960571515675676 -0.965679031171171 -0.908632278378378 -0.940246091801802 -0.972884818018018 -0.88713306109009 -0.905797462252252 -0.0531080409279279 -0.0738014900621622 0.000474000086036035 -0.964947271171171 -0.946150197027027 -0.969862995315315 -0.967472437027027 -0.948904305405405 -0.976265283243243 0.101822651494054 -0.181854151663063 -0.0626394109054054 -0.908106154954955 -0.946535319279279 -0.921103981351351 -0.91174814990991 -0.932352821891892 -0.922736888918919 -0.252726929472973 -0.342636410383784 -0.228292051538018 -0.927242155585586 -0.916511470720721 -0.0175593998226126 -0.954174924234234 -0.955047844144144 0.14955051287027 -0.918236646756757 -0.890345068378378 -0.264146076744144 -0.962437437297297 -0.960807185675676 0.00407486441891892
3 "WALKING" 0.277100285677966 -0.0159885622748305 -0.112028184415254 -0.401275325338983 -0.0744459321042373 -0.48851749220339 0.950486211186441 -0.172427545372881 -0.00291872443220339 -0.980850355847458 -0.965206952118644 -0.957622125677966 0.0798872933265254 0.00644739042542373 -0.00315401885847458 -0.283101492347458 -0.134556792725424 -0.642319302542373 -0.0287715717234746 -0.0752585348177966 0.080951537590678 -0.535791813813559 -0.615454700508475 -0.571227842627119 -0.105450870725424 -0.0390722026677966 -0.0527794449265254 -0.440033874576271 -0.724680502542373 -0.589438683305085 -0.283856557457627 -0.42974258059322 -0.283856557457627 -0.42974258059322 -0.324089772881356 -0.229917677702542 -0.48236791358983 -0.557242256779661 -0.624695634152542 -0.65013841220339 -0.372599827610169 -0.115928129283051 -0.523542581101695 -0.413831771949153 -0.112726739745847 -0.510049246016949 -0.191687471251695 0.0906945612923729 -0.00326986261677966 -0.332248156677966 -0.211209336652542 -0.623385225 -0.296967534466102 -0.109488725899237 -0.659883334830508 -0.174977105382119 -0.323352499084746 -0.336162337377119 -0.405068870677966 -0.626068871101695 -0.511306681016949 -0.57826987279661 -0.612500078559322 -0.632622873050847 -0.0480608738923729 -0.158333372797458 0.0543188949008475 -0.37178053 -0.555423698135593 0.250071650360169 -0.253793310542373 -0.20710963985983 -0.000901033252033898 -0.589855678567797 -0.612962229152542 0.124395782438729 -0.667027463644068 -0.655196028220339 0.157419793159322
